epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58773,2.52769,3.42408,2.16944,0.00353,0.875,0.00566,0.00166,3.4059,4.09436,2.67703,1.667e-05,1.667e-05,1.667e-05
2,4.73533,2.94994,3.71755,2.52994,0.00442,1,0.00664,0.00204,3.16825,4.11291,2.47114,4.90198e-05,4.90198e-05,4.90198e-05
3,7.09265,2.46925,3.40995,2.08072,0.00458,1,0.01168,0.00226,2.88092,3.96277,2.18311,8.00493e-05,8.00493e-05,8.00493e-05
4,9.50911,2.21737,3.31043,1.93139,0.00463,1,0.08881,0.02227,2.71888,3.54195,1.80255,0.000109759,0.000109759,0.000109759
5,11.9137,1.74366,3.14941,1.62838,0.0046,1,0.60959,0.19524,2.20651,3.32085,1.43607,0.000138148,0.000138148,0.000138148
6,14.3156,2.07513,3.21833,1.68449,0.00425,1,0.57188,0.20759,2.01686,3.2285,1.31144,0.000165216,0.000165216,0.000165216
7,16.7161,1.49295,3.01568,1.49372,0.00394,1,0.57188,0.20449,1.83475,3.15085,1.24753,0.000190965,0.000190965,0.000190965
8,19.1056,1.84129,2.64758,1.52857,0.00382,1,0.69625,0.30716,1.67588,3.05299,1.15474,0.000215393,0.000215393,0.000215393
9,21.3589,2.03275,2.59993,1.65516,0.00379,1,0.67125,0.29986,1.62895,3.04596,1.16429,0.000238501,0.000238501,0.000238501
10,23.7203,1.79905,2.06617,1.48664,0.00381,1,0.67125,0.31398,1.60303,2.99648,1.15371,0.000260289,0.000260289,0.000260289
11,25.9854,1.5731,2.23299,1.39185,0.00386,1,0.67125,0.34481,1.57629,2.98562,1.16297,0.000280756,0.000280756,0.000280756
12,28.3177,1.64535,1.77481,1.42033,0.00392,1,0.67125,0.33097,1.57711,3.01534,1.14158,0.000299903,0.000299903,0.000299903
13,30.5625,1.39835,1.64113,1.18224,0.00399,1,0.67125,0.33148,1.47993,3.02867,1.1339,0.00031773,0.00031773,0.00031773
14,32.9018,1.72028,1.96036,1.71172,0.00398,1,0.92,0.45935,1.40663,3.04065,1.1463,0.000334237,0.000334237,0.000334237
15,35.1727,1.71654,2.07542,1.42208,0.004,1,0.92,0.39359,1.42604,3.04495,1.17241,0.000349423,0.000349423,0.000349423
16,37.3721,1.66016,1.85337,1.45411,0.00403,1,0.8955,0.38037,1.41441,3.04607,1.1905,0.000363289,0.000363289,0.000363289
17,39.6915,1.77602,1.8247,1.44304,0.004,1,0.8955,0.36075,1.43543,3.04721,1.21157,0.000375835,0.000375835,0.000375835
18,41.8542,1.53308,1.74765,1.32509,0.004,1,0.92,0.3528,1.5319,3.06326,1.23632,0.000387061,0.000387061,0.000387061
19,44.0517,1.49787,1.58438,1.41236,0.00397,1,0.92,0.30185,1.67795,3.06173,1.27796,0.000396966,0.000396966,0.000396966
20,46.1747,1.5102,1.66834,1.30414,0.00396,1,0.92208,0.30718,1.814,3.07372,1.34872,0.000405551,0.000405551,0.000405551
